"Date","Site","Array","Trap","trap_type","Taxa","SppCode","Toeclip","Recap","SVL","VTL","weight","weight_flag","Sex","OrigTail","Comments","Dead","Hatchling"
2010-05-06,"GWA2","1","A3","funnel","Lizard","ASTI","A1D3","Y",80,141,12.5,NA,"M",36,"shedding","N","N"
2010-05-06,"GWA2","1","B4","pitfall","Lizard","ASTI","A2B4","N",77,151,11.5,NA,"F",56,NA,"N","N"
2010-05-06,"GWA2","2","A2","funnel","Lizard","ASTI","A2B3","N",76,201,11,NA,"M",NA,NA,"N","N"
2010-05-06,"GWA2","2","A4","pitfall","Lizard","CADR","A1B1","N",75,87,13,NA,"F",NA,NA,"N","N"
2010-05-07,"GWA1","1","A4","pitfall","Lizard","ASTI","A1C3","Y",87,149,15,NA,"M",44,NA,"N","N"
2010-05-07,"GWA1","1","A1","pitfall","Lizard","COVA","A2","N",58,58,4,NA,"M",NA,NA,"N","N"
2010-05-07,"GWA1","1","C3","funnel","Lizard","UTST","A1B5","N",50,77,4,NA,"F",NA,"gravid","N","N"
2010-05-07,"GWA2","1","A2","funnel","Lizard","ASTI","A2B4","N",79,184,10.5,NA,"F",132,NA,"N","N"
2010-05-07,"GWA2","1","B2","funnel","Lizard","ASTI","A2B5","N",80,150,12.5,NA,"F",49,"gravid","N","N"
2010-05-07,"GWA2","2","B2","funnel","Lizard","ASTI","A2B1","Y",78,170,11.5,NA,"M",80,"bump @105","N","N"
2010-05-07,"GWA2","2","A2","funnel","Lizard","ASTI","A2B4","N",75,190,10.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA1","1","A1","pitfall","Lizard","ASTI","A2B1","N",69,187,8.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA1","1","A1","pitfall","Lizard","CADR","A1B2","N",30,36,0.75,NA,"M",NA,NA,"N","Y"
2010-10-12,"GWA2","1","A1","pitfall","Lizard","ASTI","A2C1","N",69,160,7.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA2","1","A4","pitfall","Lizard","COVA","A5","N",35,36,0.5,NA,"M",NA,NA,"N","N"
2010-10-12,"GWA2","1","A4","pitfall","Lizard","UTST","A1D2","N",43,63,2.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA2","2","A2","funnel","Lizard","SCMA","B2","N",37,51,1.5,NA,"M",NA,NA,"N","Y"
2010-10-12,"GWA2","2","B2","funnel","Lizard","UTST","A1C5","N",44,55,2.5,NA,"F",43,"chased into trap","N","N"
2010-10-12,"GWA2","2","C2","funnel","Lizard","UTST","A1D1","N",55,72,4.75,NA,"M",34,NA,"N","N"
2010-10-13,"GWA2","1","A1","pitfall","Lizard","ASTI",NA,NA,NA,NA,NA,NA,"U",NA,"YOY, DIT, ants eating it","Y",NA
2010-10-13,"GWA2","2","A1","pitfall","Lizard","ASTI","A2C2","N",75,202,10,NA,"F",NA,NA,"N","N"
2010-10-13,"GWA2","2","A4","pitfall","Lizard","ASTI","A2C3","N",75,175,10,NA,"M",NA,"tail blunt at tip","N","N"
2010-10-13,"GWA2","2","B2","funnel","Lizard","ASTI","A2C5","N",75,192,10.5,NA,"F",NA,NA,"N","N"
2010-10-13,"GWA2","2","C4","pitfall","Lizard","ASTI","A2D1","N",72,183,8.5,NA,"M",NA,NA,"N","N"
2010-10-13,"GWA2","2","A1","pitfall","Lizard","UTST","A1D3","N",43,78,2.5,NA,"F",NA,NA,"N","N"
2010-10-14,"GWA1","1","A1","pitfall","Lizard","ASTI","A2B2","N",78,211,12,NA,"M",NA,NA,"N","N"
2010-10-14,"GWA1","1","A1","pitfall","Lizard","ASTI","A2B3","N",67,171,7.5,NA,"M",NA,"tail discoloration @168mm","N","N"
2010-10-14,"GWA1","2","A1","pitfall","Lizard","ASTI",NA,NA,NA,NA,NA,NA,"U",NA,"DIT, ants, YOY","Y",NA
2010-10-14,"GWA1","2","B3","funnel","Lizard","UTST","A1C1","N",54,93,5,NA,"M",NA,NA,"N","N"
2010-10-14,"GWA1","2","C3","funnel","Lizard","UTST",NA,NA,NA,NA,NA,NA,NA,NA,"DIT, ants","Y","U"
2010-10-14,"GWA2","1","B4","pitfall","Lizard","ASTI","A2D5","N",48,106,2.5,NA,"U",NA,"YOY","N",NA
2010-10-14,"GWA2","1","A4","pitfall","Lizard","UTST","A2B2","N",51,69,4.5,NA,"M",24,"incorporated natural toe loss of B2","N","N"
2010-10-14,"GWA2","2","A4","pitfall","Lizard","ASTI","A2D2","N",35,80,1,NA,"U",NA,NA,"N","Y"
2010-10-14,"GWA2","2","C4","pitfall","Lizard","ASTI","A2D3","N",78,194,11.5,NA,"M",NA,NA,"N","N"
2010-10-19,"GWA1","1","A1","pitfall","Lizard","ASTI","A2B4","N",38,46,1.75,NA,"U",NA,"tail clipped for blood smear #4","N","Y"
2010-10-19,"GWA1","1","A3","funnel","Lizard","UTST","A1C2","N",53,50,5,NA,"F",26,"tail clipped for blood smear #3","N","N"
2010-10-19,"GWA1","2","Bfence","hand captured","Lizard","UTST","A1C3","N",57,90,6,NA,"M",NA,"found under B3, shedding. Tail clipped for blood smear #1","N","N"
2010-10-19,"GWA2","2","C4","pitfall","Lizard","ASTI","A3B1","N",70,115,8,NA,"F",NA,"tail clipped for blood smear #2","N","N"
2010-10-20,"GWA2","2","A1","pitfall","Lizard","ASTI",NA,"N",NA,NA,NA,NA,"U",NA,"DIT, ants","Y",NA
2010-10-20,"GWA2","2","A1","pitfall","Lizard","UTST",NA,"N",NA,NA,NA,NA,"F",NA,"DIT, ants","Y","U"
2010-10-20,"GWA2","2","B2","funnel","Lizard","UTST","A1D3","Y",42,76,2,NA,"F",NA,NA,"N","N"
